 820-3399-a        Tebo-ICT,  license #YunTaiLi

 Test Fixture Nails     377/377  Selected Drills           01-January-2012 05:54
                        377 Nails,  1318 Nets               Metric units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$126      79.030    72.330   3  C1   (B)  #1158 TP_AMUX_A3       T PIN TB_TP5.1
$127      76.920    72.210   1  C1   (B)  #903  DWI_AP_DO        T PIN TB_TP369.1
$128      74.015    71.130   2  C1   (B)  #1149 TP_HV_CHG_EN     T PIN TB_TP177.1
$129      72.200    71.950   3  C1   (B)  #345  BOARD_TEMP6_P    T PIN TB_TP286.1
$130      72.410    73.280   3  C1   (B)  #303  PMU_VCENTER      T PIN TB_TP307.1
$131      73.800    73.940   3  C1   (B)  #349  BOARD_TEMP8_P    T PIN TB_TP238.1
$132      75.190    74.010   3  C1   (B)  #259  PPVBUS_PROT      T PIN TB_TP309.1
$133      78.550    74.390   3  C1   (B)  #1161 TP_AMUX_B3       T PIN TB_TP4.1
$134      80.070    76.640   1  C1   (B)  #353  BOARD_TEMP2_P    T PIN TB_TP20.1
$135      78.290    77.850   2  C1   (B)  #881  GPIO_PMU2SOC_IRQ_L T PIN TB_TP246.1
$136      75.890    78.200   3  C1   (B)  #256  PP3V0_S2R_TRISTAR T PIN TB_TP244.1
$137      74.655    78.500   3  C1   (B)  #111  PP2V6_CAM_AF     T PIN TB_TP169.1
$138      74.570    77.140   3  C1   (B)  #355  PMU_TCAL         T PIN TB_TP308.1
$139      72.040    75.330   3  C1   (B)  #432  PMU_GPIO_PMU2BBPMU_RST_L T PIN TB_TP158.1
$140      72.470    76.550   3  C1   (B)  #312  PP3V0_ALS        T PIN TB_TP152.1
$141      72.130    78.410   1  C1   (B)  #370  VBUS_PROT_G      T PIN TB_TP306.1
$142      71.010    82.650   3  C1   (B)  #261  PPVBUS_USB_DCIN  T PIN TB_TP318.1
$143      72.320    82.660   3  C1   (B)  #316  PP2V9_CAM        T PIN TB_TP312.1
$144      75.430    83.180   2  C1   (B)  #740  GPIO_OSCAR_RESET_L T PIN TB_TP188.1
$145      76.590    83.380   4  C1   (B)  #1058 ACCEL2OSCAR_INT1 T PIN TB_TP232.1
$146      77.500    82.695   3  C1   (B)  #19   PPVDD_SOC        T PIN TB_TP234.1
$147      78.460    83.550   3  C1   (B)  #864  UART4_OSCAR2SOC_RXD T PIN TB_TP116.1
$148      79.670    83.430   3  C1   (B)  #314  PP3V0_S2R_HALL   T PIN TB_TP1.1
$149      80.360    82.695   4  C1   (B)  #809  PMU_SHDWN        T PIN TB_TP321.1
$150      81.070    83.620   3  C1   (B)  #869  PMU_GPIO_OSCAR2PMU_HOST_WAKE T PIN TB_TP189.1
$151      82.061    82.891   3  C1   (B)  #313  PP3V0_UVLO       T PIN TB_TP3.1
$152      83.650    81.620   1  C1   (B)  #20   PPVDD_SRAM       T PIN TB_TP233.1
$153      84.340    83.520   2  C1   (B)  #663  SOCHOT0_R_L      T PIN TB_TP2.1
$154      82.410    86.310   3  C1   (B)  #429  GPIO_SOC2BB_RST_L T PIN TB_TP161.1
$155      81.040    86.020   3  C1   (B)  #1051 PMU_GPIO_CLK_32K_OSCAR T PIN TB_TP190.1
$156      79.510    86.005   3  C1   (B)  #746  GPIO_SOC2OSCAR_DBGEN T PIN TB_TP146.1
$157      78.133    85.846   3  C1   (B)  #1049 TP_OSCAR_P0_22   T PIN TB_TP75.1
$158      76.838    86.007   3  C1   (B)  #865  UART4_SOC2OSCAR_TXD T PIN TB_TP115.1
$159      75.595    86.295   3  C1   (B)  #749  SPI_OSCAR_MISO   T PIN TB_TP79.1
$160      74.070    85.820   2  C1   (B)  #745  GPIO_SOC2OSCAR_DBGEN_R T PIN TB_TP29.1
$161      -1.320    47.880   4  E3   (B)  #315  PP3V0_S2R_SENSOR T PIN TB_TP141.1
$161      71.850    86.800   3  C1   (B)  #315  PP3V0_S2R_SENSOR T PIN TB_TP140.1
$162      70.760    85.830   3  C1   (B)  #85   PP1V2_S2R_SW2    T PIN TB_TP143.1
$163      68.615    86.020   3  C1   (B)  #843  GPIO_BB2SOC_GPS_SYNC T PIN TB_TP228.1
$164      68.100    78.420   3  C1   (B)  #311  PP3V0_SPARE1     T PIN TB_TP151.1
