 820-3399-a        Tebo-ICT,  license #YunTaiLi

 Board Outline Contour             Metric units               01-January-2012 05:54

 User Datum  X  0.000,  Y  0.000,  Rotation   0.0

      X           Y         Radius

   -2.280       7.031       0.000
   -2.266       7.052       0.000
   -2.251       7.074       0.000
   -2.238       7.095       0.000
   -2.225       7.117       0.000
   -2.211       7.139       0.000
   -2.199       7.161       0.000
   -2.186       7.184       0.000
   -2.174       7.206       0.000
   -2.163       7.229       0.000
   -2.152       7.252       0.000
   -2.141       7.275       0.000
   -2.130       7.299       0.000
   -2.120       7.322       0.000
   -2.110       7.346       0.000
   -2.101       7.370       0.000
   -2.092       7.394       0.000
   -2.084       7.418       0.000
   -2.075       7.442       0.000
   -2.068       7.467       0.000
   -2.060       7.491       0.000
   -2.053       7.516       0.000
   -2.046       7.540       0.000
   -2.040       7.565       0.000
   -2.035       7.590       0.000
   -2.029       7.615       0.000
   -2.024       7.640       0.000
   -2.019       7.665       0.000
   -2.015       7.691       0.000
   -2.011       7.716       0.000
   -2.008       7.741       0.000
   -2.005       7.767       0.000
   -2.002       7.792       0.000
   -2.000       7.818       0.000
   -1.998       7.844       0.000
   -1.997       7.869       0.000
   -1.996       7.895       0.000
   -1.995       7.920       0.000
   -1.995       7.946       0.000
   -1.996       7.971       0.000
   -1.996       7.997       0.000
   -1.997       8.022       0.000
   -1.999       8.048       0.000
   -2.001       8.073       0.000
   -2.003       8.099       0.000
   -2.006       8.124       0.000
   -2.009       8.150       0.000
   -2.012       8.175       0.000
   -2.016       8.200       0.000
   -2.021       8.226       0.000
   -2.025       8.251       0.000
   -2.030       8.276       0.000
   -2.036       8.301       0.000
   -2.042       8.326       0.000
   -2.049       8.351       0.000
   -2.055       8.375       0.000
   -2.062       8.400       0.000
   -2.070       8.424       0.000
   -2.078       8.449       0.000
   -2.086       8.473       0.000
   -2.095       8.497       0.000
   -2.104       8.521       0.000
   -2.113       8.545       0.000
   -2.123       8.568       0.000
   -2.133       8.592       0.000
   -2.144       8.615       0.000
   -2.155       8.638       0.000
   -2.166       8.661       0.000
   -2.178       8.684       0.000
   -2.190       8.707       0.000
   -2.202       8.729       0.000
   -2.215       8.751       0.000
   -2.228       8.773       0.000
   -2.242       8.795       0.000
   -2.256       8.817       0.000
   -2.270       8.838       0.000
   -2.284       8.859       0.000
   -2.299       8.880       0.000
   -2.314       8.900       0.000
   -2.330       8.921       0.000
   -2.346       8.941       0.000
   -2.362       8.961       0.000
   -2.378       8.980       0.000
   -2.395       9.000       0.000
   -2.412       9.019       0.000
   -2.430       9.038       0.000
   -2.447       9.056       0.000
   -2.465       9.074       0.000
   -2.483       9.092       0.000
   -2.502       9.110       0.000
   -2.521       9.127       0.000
   -2.540       9.145       0.000
   -2.559       9.161       0.000
   -2.579       9.178       0.000
   -2.599       9.194       0.000
   -2.619       9.210       0.000
   -2.640       9.225       0.000
   -2.660       9.240       0.000
   -2.681       9.255       0.000
   -2.698       9.267       0.000
   -2.718       9.281       0.000
   -2.738       9.294       0.000
   -2.757       9.308       0.000
   -2.776       9.323       0.000
   -2.796       9.337       0.000
   -2.815       9.352       0.000
   -2.833       9.367       0.000
   -2.852       9.382       0.000
   -2.870       9.397       0.000
   -2.888       9.413       0.000
   -2.907       9.429       0.000
