 Gerber_20200211(820-01839-a_v7)        Tebo-ICT,  license #XunKeDa

 Board Outline Contour             Metric units               11-February-2020 11:11

 User Datum  X  0.000,  Y  0.000,  Rotation   0.0

      X           Y         Radius

  139.058       5.798       0.000
  139.082       5.773       0.000
  139.104       5.746       0.000
  139.125       5.718       0.000
  139.143       5.688       0.000
  139.160       5.658       0.000
  139.174       5.626       0.000
  139.186       5.593       0.000
  139.196       5.559       0.000
  139.198       5.548       0.000
  139.207       5.515       0.000
  139.218       5.482       0.000
  139.232       5.450       0.000
  139.248       5.418       0.000
  139.265       5.388       0.000
  139.285       5.360       0.000
  139.307       5.332       0.000
  139.331       5.307       0.000
  139.356       5.283       0.000
  139.383       5.261       0.000
  139.412       5.241       0.000
  139.441       5.222       0.000
  139.473       5.206       0.000
  139.505       5.193       0.000
  139.537       5.181       0.000
  139.571       5.172       0.000
  139.606       5.165       0.000
  139.640       5.161       0.000
  139.675       5.158       0.000
  139.686       5.158       0.000
  152.936       5.158       0.000
  152.971       5.160       0.000
  153.006       5.164       0.000
  153.040       5.170       0.000
  153.074       5.178       0.000
  153.107       5.189       0.000
  153.139       5.202       0.000
  153.171       5.217       0.000
  153.201       5.235       0.000
  153.230       5.254       0.000
  153.257       5.276       0.000
  153.283       5.299       0.000
  153.308       5.324       0.000
  153.330       5.351       0.000
  153.350       5.379       0.000
  153.369       5.409       0.000
  153.385       5.439       0.000
  153.399       5.471       0.000
  153.411       5.504       0.000
  153.421       5.538       0.000
  153.424       5.548       0.000
  153.433       5.582       0.000
  153.444       5.615       0.000
  153.457       5.647       0.000
  153.473       5.679       0.000
  153.491       5.709       0.000
  153.510       5.737       0.000
  153.532       5.765       0.000
  153.556       5.790       0.000
  153.582       5.814       0.000
  153.609       5.836       0.000
  153.637       5.856       0.000
  153.667       5.875       0.000
  153.698       5.891       0.000
  153.730       5.904       0.000
  153.763       5.916       0.000
  153.796       5.925       0.000
  153.831       5.932       0.000
  153.865       5.936       0.000
  153.900       5.939       0.000
  153.911       5.939       0.000
  168.309       5.939       0.000
  168.344       5.940       0.000
  168.378       5.944       0.000
  168.413       5.950       0.000
  168.446       5.958       0.000
  168.480       5.969       0.000
  168.512       5.982       0.000
  168.543       5.997       0.000
  168.574       6.015       0.000
  168.603       6.034       0.000
  168.622       6.049       0.000
  168.650       6.069       0.000
  168.679       6.088       0.000
  168.710       6.105       0.000
  168.742       6.120       0.000
  168.774       6.132       0.000
  168.808       6.142       0.000
  168.842       6.150       0.000
  168.876       6.155       0.000
  168.911       6.158       0.000
  168.935       6.158       0.000
  186.055       6.158       0.000
  186.090       6.157       0.000
  186.125       6.154       0.000
  186.159       6.148       0.000
  186.193       6.139       0.000
  186.226       6.128       0.000
  186.258       6.115       0.000
  186.290       6.100       0.000
  186.320       6.083       0.000
  186.349       6.063       0.000
  186.377       6.041       0.000
  186.402       6.018       0.000
