 Gerber_20200211(820-01839-a_v7)        Tebo-ICT,  license #XunKeDa
R1901         66.115    -4.966   90.0  AA   (T)  'RES-01005-P42XP22-HP15', 'RES-01005-P42XP22-HP15'
R1904         69.628   -11.621    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R1910         69.245    -6.552   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R1911         69.245    -7.262   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R1920         66.782    -5.126    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R1921         66.644    -4.589   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R1951         55.696   -14.268  180.0  AA   (T)  'RES-0201-HP26', 'RES-0201-HP26'
R200_S       122.713   -20.937    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R201_S       122.704   -21.315    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R202_S       122.710   -21.689    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R203_S       117.789   -21.879  270.0  AA   (T)  'RES-01005-P42XP22-HP15', 'RES-01005-P42XP22-HP15'
R204_S       117.662   -23.414   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R205_S       118.032   -23.414   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R206_R       117.292   -23.414   90.0  AA   (T)  'RES-01005-P42XP22-HP15', 'RES-01005-P42XP22-HP15'
R207_R       116.922   -23.414   90.0  AA   (T)  'RES-01005-P42XP22-HP15', 'RES-01005-P42XP22-HP15'
R2100        136.398     0.711    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2101        135.649     1.069  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2102        136.404     1.471    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2103        136.424     1.088    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2104        135.665     1.447    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2120         62.016   -22.029  270.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2122         57.110   -22.028  270.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2151         59.934     2.446  270.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2152         61.069     1.355    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2202        191.678   -14.649   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2203        190.938   -14.649  270.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2211        192.418   -14.649   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2214        195.080   -14.625  270.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2215        195.665   -17.514  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2222        189.151   -14.503    0.0  AA   (T)  'RES-0402', 'RES-0402'
R2224        192.048   -14.649  270.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2271        196.850   -15.557  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2280        199.900   -15.565   90.0  AA   (T)  'RES-01005-P42XP22-HP15', 'RES-01005-P42XP22-HP15'
R2281        195.838   -22.576    0.0  AA   (T)  'RES-0201-HP26', 'RES-0201-HP26'
R2282        199.792   -16.798   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2283        199.042   -17.042  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2284        199.796   -16.132  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2285        198.769   -15.532   90.0  AA   (T)  'RES-01005-P42XP22-HP15', 'RES-01005-P42XP22-HP15'
R2286        200.589   -14.267    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2288        199.591   -14.968  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R22A1        205.591   -18.757   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R22A2        206.145   -18.593    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R22A3        206.142   -18.971    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R22A4        207.214   -19.436    0.0  AA   (T)  'RES-01005-P42XP22-HP15', 'RES-01005-P42XP22-HP15'
R2301        196.223   -10.504  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2303        196.300   -10.084  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2305        196.223   -10.878    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2306        192.188    -5.259  270.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2307        191.426    -5.233  270.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2308        195.815    -8.484  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R230A        194.842    -5.238  270.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2309        191.807    -5.259  270.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R233_W        43.175   -23.780   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2350        198.757   -22.393  270.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2351        198.937   -21.409  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2352        198.942   -21.802  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R235_W        46.842   -23.763   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2360        202.050   -13.270    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2361        199.590   -14.595  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R237_W        38.359   -19.282    0.0  AA   (T)  'RES-0201-HP26', 'RES-0201-HP26'
R238_W        38.422   -21.529    0.0  AA   (T)  'RES-0201-HP26', 'RES-0201-HP26'
R2390        186.549   -11.373    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R23A1        198.800   -11.525    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R23A2        199.114   -11.910    0.0  AA   (T)  'RES-01005-P42XP22-HP15', 'RES-01005-P42XP22-HP15'
R23A3        196.890   -10.398   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R23A4        198.570   -12.104   90.0  AA   (T)  'RES-01005-P42XP22-HP15', 'RES-01005-P42XP22-HP15'
R23A5        198.792   -13.495    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R245_W        45.489   -23.759   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R246_W        45.249   -15.001    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R247_W        44.548   -23.780   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R257_W        49.865   -14.995  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R258_W        46.091   -15.008    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
