 Gerber_20200211(820-01839-a_v7)        Tebo-ICT,  license #XunKeDa

 Test Fixture Nails     420/420  Selected Drills           11-February-2020 11:11
                        420 Nails,  1606 Nets               Metric units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$182      73.567    -4.679   3  AA   (B)  #183  PP1V8_SW1        T PIN TP9305.1
$183      73.537    -6.177   2  AA   (B)  #1018 I2C_SMC_I2CM3_SCL_1V8 T PIN TP93GQ.1
$184      71.650    -6.350   3  AA   (B)  #587  I2C_AOP_I2CM0_SDA_1V8 T PIN TP93GH.1
$185      70.950    -5.600   4  AA   (B)  #585  I2C_AOP_I2CM0_SCL_1V8 T PIN TP93GG.1
$186      72.032    -4.818   3  AA   (B)  #443  BOARD_TEMP2A_P   T PIN TP93BH.1
$187      70.879    -4.129   3  AA   (B)  #1019 I2C_SMC_I2CM3_SDA_1V8 T PIN TP93GR.1
$188      64.791    -4.524   1  AA   (B)  #70   PP0V9_NAND       T PIN TP931A.1
$189      60.670    -0.530   2  AA   (B)  #1075 GPIO_SPKRAMP_TO_SOC_IRQ_L T PIN TP93FA.1
$190      60.650     1.380   2  AA   (B)  #105  PP1V8_S2_KOBOL_FILT T PIN TP93G0.1
$191      56.698     1.424   1  AA   (B)  #747  GPIO_BT_TO_SCORPIUS_TX_IND T PIN TP93EP.1
$192      53.640     1.630   3  AA   (B)  #997  I2C1_SCL_1V8     T PIN TP93GA.1
$193      52.370     1.640   3  AA   (B)  #998  I2C1_SDA_1V8     T PIN TP93GB.1
$194      51.042     1.189   3  AA   (B)  #279  PP3V1_PEARL      T PIN TP931O.1
$195      24.580    44.256   3  AA   (B)  #607  I2C_JASPER_SDA_CONN T PIN TP942Z.1
$196      24.580    45.256   4  AA   (B)  #605  I2C_JASPER_SCL_CONN T PIN TP942Y.1
$197      24.580    46.256   3  AA   (B)  #733  TOF_FSYNC_CONN   T PIN TP943Y.1
$198      24.580    47.256   4  AA   (B)  #735  GPIO_PMU_TO_TOF_INT_CONN_L T PIN TP943X.1
$199      24.580    48.256   4  AA   (B)  #419  CLK_RCAM_PMU_TO_TOF_12MHZ_CONN T PIN TP942X.1
$200      24.580    49.256   3  AA   (B)  #373  PP1V2_JASPER_DVDD T PIN TP940G.1
$201      24.580    50.256   4  AA   (B)  #355  PP3V0_PENROSE    T PIN TP9404.1
$202      24.580    51.256   4  AA   (B)  #179  LED_DRIVER_NTC_CONN T PIN TP9429.1
$203      24.580    52.256   3  AA   (B)  #160  PP3V0_PENROSE_CONN T PIN TP942F.1
$204      24.580    54.256   4  AA   (B)  #541  GPIO_BTN_ONOFF_L_CONN T PIN TP93G5.1
$205      24.580    55.256   3  AA   (B)  #389  AP_TO_WIDE_CLK_12MHZ_CONN T PIN TP942L.1
$206      24.580    56.256   4  AA   (B)  #391  WIDE_TO_STROBE_DRIVER_STROBE_CONN T PIN TP942Q.1
$207      24.580    57.256   3  AA   (B)  #375  PP2V85_RCAM_WIDE_AVDD_CONN T PIN TP9419.1
$208      24.580    58.256   4  AA   (B)  #388  I2C_RCAM1_WIDE_SDA_CONN T PIN TP942N.1
$209      24.580    59.256   3  AA   (B)  #387  I2C_RCAM1_WIDE_SCL_CONN T PIN TP942M.1
$210      24.000    60.650   3  AA   (B)  #354  PP3V0_JASPER_RX_AVDDH T PIN TP9403.1
$211      24.100    61.850   3  AA   (B)  #356  PP3V3_JASPER_TX_AVDDH T PIN TP9405.1
$212      23.350    62.650   4  AA   (B)  #358  PP2V85_WIDE_RCAM1_AVDDH1 T PIN TP9407.1
$213      23.425    63.787   3  AA   (B)  #361  PP1V215_RCAM_WIDE_VDDL T PIN TP940A.1
$214      22.550    63.300   4  AA   (B)  #360  PP1V215_RCAM_SWIDE_VDDL T PIN TP9409.1
$215      22.041    62.390   4  AA   (B)  #359  PP2V85_SWIDE_RCAM2_AVDDH1 T PIN TP9408.1
$216      21.900    61.250   2  AA   (B)  #353  PP3V3_ADAMS_LDO1 T PIN TP9402.1
$217      20.509    61.824   3  AA   (B)  #1152 I2C3_RCAM_PMU_SDA T PIN TP9465.1
$218      19.400    61.950   4  AA   (B)  #1245 GPIO_RCAM_PMU_TO_STROBE_DRIVER_HWEN T PIN TP942E.1
$219      19.500    62.950   3  AA   (B)  #932  GPIO_RCAM_PMU_TO_TOF_PMU_EN T PIN TP9453.1
$220      20.483    63.237   4  AA   (B)  #364  PP1V8_CAM_PMU1_IO_SW T PIN TP940B.1
$221      21.200    63.950   3  AA   (B)  #1217 TP_AMUX_PMU_FROM_CAM_PMU1 T PIN TP6101.1
$222      17.500    63.850   3  AA   (B)  #352  PP1V4_ADAMS1_VDDL T PIN TP9401.1
$223      17.441    59.799   4  AA   (B)  #376  PP1V215_RCAM_WIDE_VDDL_CONN T PIN TP9417.1
$224      17.650    58.415   3  AA   (B)  #374  PP1V8_RCAM_WIDE_VDDIO_CONN T PIN TP9418.1
$225      17.894    57.439   4  AA   (B)  #390  ISP_TO_WIDE_SHUTDOWN_CONN_L T PIN TP942O.1
$226     179.883    -0.177   3  AA   (B)  #2    GND              T PIN TP9397.1
$226     206.766     0.125   3  AA   (B)  #2    GND              T PIN TP93HA.1
$226     181.383    -0.177   2  AA   (B)  #2    GND              T PIN TP9398.1
$226     154.332   -23.694   3  AA   (B)  #2    GND              T PIN TP93H5.1
$226      57.947   -23.306   4  AA   (B)  #2    GND              T PIN TP93H2.1
$226     146.049     0.351   3  AA   (B)  #2    GND              T PIN TP939J.1
$226      18.050    51.900   4  AA   (B)  #2    GND              T PIN TP93H1.1
